namespace,name,bits,p,a,b,n,h,gx,gy
other,Curve25519,255,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffed,0x76d06,0x1,0x1000000000000000000000000000000014def9dea2f79cd65812631a5cf5d3ed,0x8,0x9,0x20ae19a1b8a086b4e01edd2c7748d14c923d4d7e6d7c61b229e9c5a27eced3d9
other,Curve383187,283,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff45,0x38251,0x1,0x1000000000000000000000000000000000000000000000000e85a85287a1488acd41ae84b2b7030446f72088b00a0e21,0x8,0x5,0x1eebe07dc1871896732b12d5504a32370471965c7a11f2c89865f855ab3cbd7c224e3620c31af3370788457dd5ce46df
other,Curve448,448,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffeffffffffffffffffffffffffffffffffffffffffffffffffffffffff,0x262a6,0x1,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffff7cca23e9c44edb49aed63690216cc2728dc58f552378c292ab5844f3,0x4,0x5,0x7d235d1295f5b1f66c98ab6e58326fcecbae5d34f55545d060f75dc28df3f6edb8027e2346430d211312c4b150677af76fd7223d457b5b1a
other,M-221,221,0x1ffffffffffffffffffffffffffffffffffffffffffffffffffffffd,0x1c93a,0x1,0x40000000000000000000000000015a08ed730e8a2f77f005042605b,0x8,0x4,0xf7acdd2a4939571d1cef14eca37c228e61dbff10707dc6c08c5056d
other,M-383,383,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff45,0x1f82fe,0x1,0x10000000000000000000000000000000000000000000000006c79673ac36ba6e7a32576f7b1b249e46bbc225be9071d7,0x8,0xc,0x1ec7ed04aaf834af310e304b2da0f328e7c165f0e8988abd3992861290f617aa1f1b2e7d0b6e332e969991b62555e77e
other,M-511,511,0x7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff45,0x81806,0x1,0x100000000000000000000000000000000000000000000000000000000000000017b5feff30c7f5677ab2aeebd13779a2ac125042a6aa10bfa54c15bab76baf1b,0x8,0x5,0x2fbdc0ad8530803d28fdbad354bb488d32399ac1cf8f6e01ee3f96389b90c809422b9429e8a43dbf49308ac4455940abe9f1dbca542093a895e30a64af056fa5
