namespace,name,bits,p,a,b,n,h,gx,gy
bls,BLS12-381,381,0x1a0111ea397fe69a4b1ba7b6434bacd764774b84f38512bf6730d2a0f6b0f6241eabfffeb153ffffb9feffffffffaaab,0x0,0x4,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,0x396c8c005555e1568c00aaab0000aaab,0x17f1d3a73197d7942695638c4fa9ac0fc3688c4f9774b905a14e3a3f171bac586c55e83ff97a1aeffb3af00adb22c6bb,0x8b3f481e3aaa0f1a09e30ed741d8ae4fcf5e095d5d00af600db18cb2c04b3edd03cc744a2888ae40caa232946c5e7e1
bls,BLS12-446,446,0x3cdee0fb28c5e535200fc34965aad6400095a4b78a02fe320f75a64bbac71602824e6dc3e23acdee56ee4528c573b5cc311c0026aab0aaab,0x0,0x1,0x511b70539f27995b34995830fa4d04c98ccc4c050bc7bb9b0e8d8ca34610428001400040001,0xc02082602b0055d560ab0ad5aaaac0002aaac,0x297792b2d03de39d64faca6d49fcf7a8850144ca24fc5d815c082a3aa87d1a16929e56228c136123ba51421ae89cacd5b4789a38ce39035a,0xdc40ddcbab2823a7870b5c688aa04fee40369d913e4f2f0947a152fe1c27a79b7f787e9c35b869c3846fac4f12a70d0fe22d2e244268cc
bls,BLS12-455,455,0x55555955557955572aa00e0f95b49203003f665e3a5b1d56234bd93954fcb314b8b3db9994ace86d1ba6c589556b2aa956aaa00001800002ab,0x0,0xa,0x10000080000380002e0000f10004f00025e000750001d1000a00000400001c00007ffffc00001,0x555556aaaab15555b54aab6a9557ffaabffaab,0x3018df4c2336d178e6ea61540353aba01923e3890b3295848906dfc90e0c43008e4751ffc913dc1ff3df33d11db57bada7a9297195acfb2fa,0x19a8a9c4c3ac2ffb4c6b380d17b8282e029615052eaa6416c16c8f36f251d87c272657f0702cc58c4e072628d7bad3c0e9b3a8aebfc6b2357c
bls,BLS12-638,638,0x3cb868653d300b3fe80015554dd25db0fc01dcde95d4000000631bbd421715013955555555529c005c75d6c2ab00000000000ac79600d2abaaaaaaaaaaaaaa93eaf3ff000aaaaaaaaaaaaaaabeab000b,0x0,0x4,0x50f94035ff4000fffffffffff9406bfdc0040000000000000035fb801dffbfffffffffffffff401bff80000000000000000000ffc01,0xbff8001555555555555555554d957eaaaaaaaaaaaaaaaaaaaabeb,0x160f63a3a3b297f113075ed79466138e85b025f7fe724b78e32d7afc4d734bdd54f871092b8d1966d491c0f45a48a8bba5586095dffcc1410b7e26ed16baf98c1117959134c24a17a7be31e1afbf844f,0x2d340b33877480a9785e86ed2edcafc170b82568cb21b708b79fc6da3748461fcd80697e486695f3cae76fcb1781e784f6812f57be05dfc850426650ded8b40a464b00a35718228ec8e02b52b59d876e
bls,BLS24-477,477,0x167278fac63bd5b007ebb8f693a2ab3dbd9f92cf437c399d928e94bfe9a04a009fda9e8cf9226901de62aea9dcea48bf1a0ebbf8860a5e7ad000152b,0x0,0x4,0x57f52ee445cc41781fcd53d13e45f6acdfe4f9f2a3cd414e71238afc9fcfc7d38caef64f4ff79f90013ffffff0000001,0x41550aaac04b3fd5000015ab,0x15dfd8e4893a408a34b600532b51cc86cab3af07103cfcf3ec7b9af836904cfb60ab0fa8ac91ee6255e5ef6286fa0c24df9d76ea50599c2e103e40ad,0xa683957a59b1b488fa657e11b44815056bde33c09d6aad392d299f89c7841b91a683bf01b7e70547e48e0fbe1ca9e991983131470f886ba9b6fce2e
bn,bn158,158,0x24240d8241d5445106c8442084001384e0000013,0x0,0x11,0x24240d8241d5445106c7e3f07e0010842000000d,0x1,0x24240d8241d5445106c8442084001384e0000012,0x4
bn,bn190,190,0x240001b0000948001e60004134005f10005dc0003a800013,0x0,0x1001,0x240001b0000948001e600040d4005cd0005760003180000d,0x1,0x240001b0000948001e60004134005f10005dc0003a800012,0x40
bn,bn222,222,0x23dc0d7dc02402cde486f4c00015b5215c0000004c6ce00000000067,0x0,0x101,0x23dc0d7dc02402cde486f4c00015555156000000496da00000000061,0x1,0x23dc0d7dc02402cde486f4c00015b5215c0000004c6ce00000000066,0x10
bn,bn254,254,0x2523648240000001ba344d80000000086121000000000013a700000000000013,0x0,0x2,0x2523648240000001ba344d8000000007ff9f800000000010a10000000000000d,0x1,0x2523648240000001ba344d80000000086121000000000013a700000000000012,0x1
bn,bn286,286,0x240900d8991b25b0e2cb51dda534a205391892080a008108000853813800138000000013,0x0,0x2,0x240900d8991b25b0e2cb51dda534a205391831fc099fc0fc0007f081080010800000000d,0x1,0x240900d8991b25b0e2cb51dda534a205391892080a008108000853813800138000000012,0x1
bn,bn318,318,0x24009000d800900024075015f015f0075000008f411e808f4000000004e484e4800000000000101b,0x0,0x2,0x24009000d800900024075015f015f0075000008ee11dc08ee000000004db84db8000000000000fe5,0x1,0x24009000d800900024075015f015f0075000008f411e808f4000000004e484e4800000000000101a,0x1
bn,bn350,350,0x23ffb80035ffee24020a01cafd738ec3f24b475ebc0ad0f6a0530fd78443fdf01a3ff64084000004e0000013,0x0,0x2,0x23ffb80035ffee24020a01cafd738ec3f24b475ebc0a70f70052f7d78413fe08173ff7c07e0000042000000d,0x1,0x23ffb80035ffee24020a01cafd738ec3f24b475ebc0ad0f6a0530fd78443fdf01a3ff64084000004e0000012,0x1
bn,bn382,382,0x240026400f3d82b2e42de125b00158405b710818ac00000840046200950400000000001380052e000000000000000013,0x0,0x2,0x240026400f3d82b2e42de125b00158405b710818ac000007e0042f008e3e00000000001080046200000000000000000d,0x1,0x240026400f3d82b2e42de125b00158405b710818ac00000840046200950400000000001380052e000000000000000012,0x1
bn,bn414,414,0x240024000d7ee23f2823ca035d31b144364c75e59aefff60544845142000765efff7c0000021138004dfffffd900000000000013,0x0,0x2,0x240024000d7ee23f2823ca035d31b144364c75e59aefff605447e513f00070607ff82000001f9080041fffffdf0000000000000d,0x1,0x240024000d7ee23f2823ca035d31b144364c75e59aefff60544845142000765efff7c0000021138004dfffffd900000000000012,0x1
bn,bn446,446,0x2400000000000000002400000002d00000000d800000021c0000001800000000870000000b0400000057c00000015c000000132000000067,0x0,0x101,0x2400000000000000002400000002d00000000d800000021c00000017a0000000870000000ad400000054c000000156000000126000000061,0x1,0x2400000000000000002400000002d00000000d800000021c0000001800000000870000000b0400000057c00000015c000000132000000066,0x10
bn,bn478,478,0x23fffffffffffffedfffffffee0001b3600000006bfff5db835fff5d28085442328002888f96f2944d7ded781430ffd780065fff010020fffd900013,0x0,0x2,0x23fffffffffffffedfffffffee0001b3600000006bfff5db835fff5d2807f442328002888f9872944d7e0578112f7fd780062fff07001f7ffdf0000d,0x1,0x23fffffffffffffedfffffffee0001b3600000006bfff5db835fff5d28085442328002888f96f2944d7ded781430ffd780065fff010020fffd900012,0x1
bn,bn510,510,0x2400000000000000003f000000000001b0002958000000000237000c0f0000084000f8100151a400073800242d00001380019440000000000888000000000013,0x0,0x101,0x2400000000000000003f000000000001b0002958000000000237000c0f000007e000f8100151a40006e400242d000010800181e000000000073800000000000d,0x1,0x2400000000000000003f000000000001b0002958000000000237000c0f0000084000f8100151a400073800242d00001380019440000000000888000000000012,0x10
bn,bn542,542,0x2400090000d80009000024000090001b01b1b051090510001b00d8001b0510d8a2084511080008d000090510005110800108138025380001b00000084000001380000013,0x0,0x2,0x2400090000d80009000024000090001b01b1b051090510001b00d8001b0510d8a207e510fc0008700009051000510fc000fc108025080001b0000007e00000108000000d,0x1,0x2400090000d80009000024000090001b01b1b051090510001b00d8001b0510d8a2084511080008d000090510005110800108138025380001b00000084000001380000012,0x1
bn,bn574,574,0x2400023ffffb7fff4c00002400167fffee01aee014423faefffb5c000a200050ffff2808400041fffe73fff7c000210000000000001380004dfffd90000000000000000000000013,0x0,0x2,0x2400023ffffb7fff4c00002400167fffee01aee014423faefffb5c000a200050ffff2807e0003efffe85fff820001f80000000000010800041fffdf000000000000000000000000d,0x1,0x2400023ffffb7fff4c00002400167fffee01aee014423faefffb5c000a200050ffff2808400041fffe73fff7c000210000000000001380004dfffd90000000000000000000000012,0x1
bn,bn606,606,0x23fffffffffffee00000000000036000000241affb7ffffff275e0024000001b1440000d94482df27fffc9aedf0000000036512100245142137fffffb75d7bd900000000000000246c844e13,0x0,0x2,0x23fffffffffffee00000000000036000000241affb7ffffff275e0024000001b1440000d9447cdf27fffc9aee08000000036511f8024513f107fffffb75d81df00000000000000246c7e420d,0x1,0x23fffffffffffee00000000000036000000241affb7ffffff275e0024000001b1440000d94482df27fffc9aedf0000000036512100245142137fffffb75d7bd900000000000000246c844e12,0x1
bn,bn638,638,0x23fffffdc000000d7fffffb8000001d3fffff942d000165e3fff94870000d52ffffdd0e00008de55c00086520021e55bfffff51ffff4eb800000004c80015acdffffffffffffece00000000000000067,0x0,0x101,0x23fffffdc000000d7fffffb8000001d3fffff942d000165e3fff94870000d52ffffdd0e00008de55600086550021e555fffff54ffff4eac000000049800154d9ffffffffffffeda00000000000000061,0x1,0x23fffffdc000000d7fffffb8000001d3fffff942d000165e3fff94870000d52ffffdd0e00008de55c00086520021e55bfffff51ffff4eb800000004c80015acdffffffffffffece00000000000000066,0x10
brainpool,brainpoolP160r1,160,0xe95e4a5f737059dc60dfc7ad95b3d8139515620f,0x340e7be2a280eb74e2be61bada745d97e8f7c300,0x1e589a8595423412134faa2dbdec95c8d8675e58,0xe95e4a5f737059dc60df5991d45029409e60fc09,0x1,0xbed5af16ea3f6a4f62938c4631eb5af7bdbcdbc3,0x1667cb477a1a8ec338f94741669c976316da6321
brainpool,brainpoolP160t1,160,0xe95e4a5f737059dc60dfc7ad95b3d8139515620f,-0x3,0x7a556b6dae535b7b51ed2c4d7daa7a0b5c55f380,0xe95e4a5f737059dc60df5991d45029409e60fc09,0x1,0xb199b13b9b34efc1397e64baeb05acc265ff2378,0xadd6718b7c7c1961f0991b842443772152c9e0ad
brainpool,brainpoolP192r1,192,0xc302f41d932a36cda7a3463093d18db78fce476de1a86297,0x6a91174076b1e0e19c39c031fe8685c1cae040e5c69a28ef,0x469a28ef7c28cca3dc721d044f4496bcca7ef4146fbf25c9,0xc302f41d932a36cda7a3462f9e9e916b5be8f1029ac4acc1,0x1,0xc0a0647eaab6a48753b033c56cb0f0900a2f5c4853375fd6,0x14b690866abd5bb88b5f4828c1490002e6773fa2fa299b8f
